algorithm_name,dataset_name,flow/samples,execution_time_fit,execution_time_predict,AUPRIN,AUPROUT,AUROC,indices_drawing,first_above_90,first_above_95,first_above_99
OneClassSVN,TrainDay0_PortScan,samples,0h 1m 34s,0h 0m 4s,0.2694522537043146,0.8471988465992222,0.14792683903297651,1,2,3,4
OneClassSVN,TrainDay0_Dos,samples,0h 1m 34s,0h 0m 10s,0.3487541687661526,0.8342011089615287,0.11710129015949639,1,2,3,4
OneClassSVN,TrainDay012_TestDay34,samples,0h 6m 11s,0h 1m 19s,0.563886248670775,0.5012130282783521,0.0846040112440491,1,3,4,6
OneClassSVN,TrainDay0_TestDay1234,samples,0h 1m 34s,0h 1m 8s,0.6120197504297978,0.7171163278148062,0.09708297632779059,1,4,6,8
OneClassSVN,TrainDay0_FTPPatator,samples,0h 1m 34s,0h 0m 4s,0.9035523940941478,0.1222017162975817,0.2871411356043432,95,32,41,63
OneClassSVN,TrainDay0_Web,samples,0h 1m 34s,0h 0m 2s,0.9418336240099323,0.0606485064091898,0.38736827958635817,46,44,57,88
OneClassSVN,TrainDay0_TestBotnet,samples,0h 1m 34s,0h 0m 4s,0.9837197227101449,0.03636181112413102,0.17994031742372774,2,201,201,201
OneClassSVN,TrainDay0_DDos,samples,0h 1m 34s,0h 0m 5s,0.14834871912159414,0.752229778352949,0.09310613929558877,1,2,2,3
OneClassSVN,TrainDay0123_TestDay4,samples,0h 13m 27s,0h 1m 0s,0.4465130663108241,0.4765916452654834,0.0955360829843877,1,3,3,5
OneClassSVN,TrainDay0_Infiltration,samples,0h 1m 34s,0h 0m 4s,0.5866731263374296,0.6829293542714583,0.1113427109625124,163,6,8,12
OneClassSVN,TrainDay0_Heartbleed,samples,0h 1m 34s,0h 0m 0s,0.8987502534565797,0.5226600616380046,0.016352821272058112,3,26,34,52
OneClassSVN,TrainDay0_SSHPatator,samples,0h 1m 34s,0h 0m 4s,0.8951163392755618,0.10918021559749082,0.3959591506053008,1668,24,30,47
OneClassSVN,TrainDay01_TestDay234,samples,0h 7m 2s,0h 1m 32s,0.581612053024325,0.4622843248119034,0.17185172208501512,1,4,5,7
OneClassSVN,TrainDay0_Heartbleed,flows,0h 1m 34s,0h 0m 0s,0.9996503590854784,0.00010307153164296021,0.13779684126803773,13,201,201,201
OneClassSVN,TrainDay0_Web,flows,0h 1m 34s,0h 0m 2s,0.9543584001256805,0.051279110547572296,0.287045463155162,37,61,80,122
OneClassSVN,TrainDay012_TestDay34,flows,0h 6m 11s,0h 1m 19s,0.46162144851412923,0.7082217555385938,0.10302883174715727,1,3,4,5
OneClassSVN,TrainDay0123_TestDay4,flows,0h 13m 27s,0h 1m 0s,0.365043478607216,0.7059502131786287,0.12760608667369894,1,2,3,4
OneClassSVN,TrainDay0_DDos,flows,0h 1m 34s,0h 0m 5s,0.15867429849514714,0.8459277624805055,0.08559000004709326,1,2,2,3
OneClassSVN,TrainDay0_Infiltration,flows,0h 1m 34s,0h 0m 4s,0.40382526375814015,0.8382768574298738,0.09336119523477407,48,3,4,6
OneClassSVN,TrainDay0_PortScan,flows,0h 1m 34s,0h 0m 4s,0.13390038730807813,0.9397826538524708,0.13735264606203582,1,2,2,3
OneClassSVN,TrainDay0_FTPPatator,flows,0h 1m 34s,0h 0m 4s,0.9478694661749381,0.06073185693037425,0.27728812564701344,442,58,75,115
OneClassSVN,TrainDay01_TestDay234,flows,0h 7m 2s,0h 1m 32s,0.46348896236855197,0.6589951737990751,0.13609946846929272,1,3,3,5
OneClassSVN,TrainDay0_SSHPatator,flows,0h 1m 34s,0h 0m 4s,0.9653655232901142,0.03885903364256066,0.330639434408879,496,74,97,148
OneClassSVN,TrainDay0_TestBotnet,flows,0h 1m 34s,0h 0m 4s,0.9718161014811222,0.08106778863859557,0.1738198458001112,1,157,201,201
OneClassSVN,TrainDay0_TestDay1234,flows,0h 1m 34s,0h 1m 8s,0.5134265720383779,0.8123822094651523,0.08348697223509191,1,3,4,6
OneClassSVN,TrainDay0_Dos,flows,0h 1m 34s,0h 0m 10s,0.24918472147455564,0.9083442274981501,0.08240960071454922,1,2,2,3
OneClassForest,TrainDay0_DDos,samples,0h 12m 15s,0h 0m 0s,0.6307446861099116,0.3692478890841873,0.5000058856766174,6,3,4,5
OneClassForest,TrainDay0_SSHPatator,samples,0h 12m 22s,0h 0m 0s,0.9574179755427736,0.042578037192680336,0.5000020822921872,8220,43,55,85
OneClassForest,TrainDay0_TestDay1234,samples,0h 12m 23s,0h 0m 0s,0.8975535954913425,0.10244611802325951,0.5000001595923118,38,6,8,11
OneClassForest,TrainDay0_Web,samples,0h 12m 23s,0h 0m 0s,0.977391168064006,0.022596692617385995,0.5000062099844129,10638,114,148,201
OneClassForest,TrainDay0_FTPPatator,samples,0h 12m 23s,0h 0m 0s,0.9712503687242054,0.02874249631306732,0.5000036730541078,17,95,123,189
OneClassForest,TrainDay0123_TestDay4,samples,3h 26m 37s,0h 0m 1s,0.8226302471894077,0.17735964420762543,0.5000061439989514,12,201,201,201
OneClassForest,TrainDay01_TestDay234,samples,0h 26m 11s,0h 0m 1s,0.8760727147569918,0.12392690953170774,0.5000002144291981,62,8,11,16
OneClassForest,TrainDay0_TestBotnet,samples,0h 12m 24s,0h 0m 0s,0.9968734632898504,0.0031226526866815862,0.5000019480949579,334,201,201,201
OneClassForest,TrainDay0_PortScan,samples,0h 12m 20s,0h 0m 0s,0.40844921363342607,0.591532478076522,0.49999936333484807,2,3,4,6
OneClassForest,TrainDay0_Heartbleed,samples,0h 12m 23s,0h 0m 0s,0.985271514381313,0.014655441222326161,0.5000370654080901,76,153,199,201
OneClassForest,TrainDay0_Dos,samples,0h 12m 22s,0h 0m 0s,0.7657475727587278,0.23425009393260174,0.5000015235448623,41,9,12,17
OneClassForest,TrainDay0_Infiltration,samples,0h 12m 22s,0h 0m 0s,0.6138914745250649,0.40681689860488146,0.4414530201654726,4,4,4,7
OneClassForest,TrainDay012_TestDay34,samples,0h 57m 2s,0h 0m 1s,0.8791006149376142,0.12089879840434897,0.500000333669227,2,4,6,8
OneClassForest,TrainDay0_Web,flows,0h 12m 23s,0h 0m 0s,0.9850145120268958,0.014970671491522456,0.5000075208327066,4303,94,123,188
OneClassForest,TrainDay012_TestDay34,flows,0h 57m 2s,0h 0m 1s,0.5345353257222654,0.4634996592626968,0.4942412142364061,2,3,4,5
OneClassForest,TrainDay0_Infiltration,flows,0h 12m 22s,0h 0m 0s,0.49181790559161226,0.5081323199882168,0.4540386959477689,1,3,3,5
OneClassForest,TrainDay0_TestDay1234,flows,0h 12m 23s,0h 0m 0s,0.8568538190470284,0.14314554280089045,0.5000003723806743,15,4,5,7
OneClassForest,TrainDay0_DDos,flows,0h 12m 15s,0h 0m 0s,0.6395371396092648,0.36044694754824685,0.5000124405961534,27,3,3,5
OneClassForest,TrainDay0_TestBotnet,flows,0h 12m 24s,0h 0m 0s,0.9952385064212838,0.004752810639382653,0.5000043622023888,711,201,201,201
OneClassForest,TrainDay0_Dos,flows,0h 12m 22s,0h 0m 0s,0.7052760734704574,0.29471886959081545,0.5000035850517681,15,4,5,7
OneClassForest,TrainDay01_TestDay234,flows,0h 26m 11s,0h 0m 1s,0.825866686243129,0.17413248364082062,0.5000005025721643,10,5,7,10
OneClassForest,TrainDay0_Heartbleed,flows,0h 12m 23s,0h 0m 0s,0.9999147856384785,2.8404249275691642e-05,0.5000284058629701,1338,201,201,201
OneClassForest,TrainDay0123_TestDay4,flows,3h 26m 37s,0h 0m 1s,0.7741970823577439,0.22580050993868797,0.5000015549632874,12,201,201,201
OneClassForest,TrainDay0_SSHPatator,flows,0h 12m 22s,0h 0m 0s,0.9863856396624936,0.013605132638667698,0.5000046774872539,3711,121,158,201
OneClassForest,TrainDay0_FTPPatator,flows,0h 12m 23s,0h 0m 0s,0.9835033320043904,0.01648824751827658,0.5000042808219178,189,86,112,172
OneClassForest,TrainDay0_PortScan,flows,0h 12m 20s,0h 0m 0s,0.6149726771775649,0.3850143659364992,0.5000105342996798,2,2,3,4
NeuronalNetworkLoss,TrainDay0_Dos,samples,0h 25m 2s,0h 0m 1s,0.4038099790340363,0.6506840086028003,0.24662454184917448,1,4,5,8
NeuronalNetworkLoss,TrainDay0_SSHPatator,samples,0h 25m 6s,0h 0m 0s,0.9375711070416936,0.07684310018141717,0.49791015096749724,12525,26,34,52
NeuronalNetworkLoss,TrainDay0_Infiltration,samples,0h 25m 9s,0h 0m 1s,0.7598116225809176,0.24713881908416171,0.4367536124373324,2,9,12,18
NeuronalNetworkLoss,TrainDay012_TestDay34,samples,1h 19m 6s,0h 0m 5s,0.5682060299376973,0.7101839516638757,0.08633579456153995,6,8,11,16
NeuronalNetworkLoss,TrainDay0_TestDay1234,samples,0h 24m 44s,0h 0m 12s,0.6794950396660421,0.44655636470768717,0.2884655717657968,1,10,13,20
NeuronalNetworkLoss,TrainDay0_Web,samples,0h 25m 10s,0h 0m 0s,0.9348702311895556,0.07467001200835324,0.3561872174303309,39,48,62,96
NeuronalNetworkLoss,TrainDay0_PortScan,samples,0h 25m 7s,0h 0m 0s,0.3837967972270221,0.6584596178758336,0.2867969786127242,117,3,4,6
NeuronalNetworkLoss,TrainDay0_FTPPatator,samples,0h 25m 4s,0h 0m 0s,0.9540721813518522,0.0547318905032672,0.4686549244778545,2150,39,50,77
NeuronalNetworkLoss,TrainDay0_Heartbleed,samples,0h 25m 4s,0h 0m 0s,0.9030889641831024,0.4814764238519883,0.037618356035710426,1,71,92,142
NeuronalNetworkLoss,TrainDay0123_TestDay4,samples,1h 42m 29s,0h 0m 3s,0.5127544447543921,0.5708115521755671,0.25039022407029116,56,6,7,11
NeuronalNetworkLoss,TrainDay01_TestDay234,samples,0h 47m 53s,0h 0m 10s,0.599766758181964,0.5813937209429388,0.21339463490922456,3,8,11,16
NeuronalNetworkLoss,TrainDay0_TestBotnet,samples,0h 25m 8s,0h 0m 0s,0.9937491630541466,0.0066992571984434025,0.4177089326951018,1007,201,201,201
NeuronalNetworkLoss,TrainDay0_DDos,samples,0h 25m 1s,0h 0m 0s,0.20648532374141135,0.8260401442419211,0.2559764546545476,163,2,3,4
NeuronalNetworkLoss,TrainDay0_Dos,flows,0h 25m 2s,0h 0m 1s,0.27062155103824803,0.8167755709031705,0.14535603578888845,1,3,4,5
NeuronalNetworkLoss,TrainDay0123_TestDay4,flows,1h 42m 29s,0h 0m 3s,0.3743357350015437,0.7769473587435769,0.1310474518696251,55,4,5,8
NeuronalNetworkLoss,TrainDay0_DDos,flows,0h 25m 1s,0h 0m 0s,0.1693717033506496,0.9056910106024232,0.12284155009590304,3,2,3,4
NeuronalNetworkLoss,TrainDay0_Web,flows,0h 25m 10s,0h 0m 0s,0.9542954318494616,0.05429427475927287,0.24324483717558454,386,71,92,141
NeuronalNetworkLoss,TrainDay0_PortScan,flows,0h 25m 7s,0h 0m 0s,0.15081907151490787,0.8941099755997339,0.14845224868736184,24,2,2,4
NeuronalNetworkLoss,TrainDay0_FTPPatator,flows,0h 25m 4s,0h 0m 0s,0.9536770973353678,0.05850943990549363,0.24514005907813688,5226,65,84,129
NeuronalNetworkLoss,TrainDay0_Heartbleed,flows,0h 25m 4s,0h 0m 0s,0.9996503590787283,0.00010309278350515464,0.1377684354050676,29,201,201,201
NeuronalNetworkLoss,TrainDay01_TestDay234,flows,0h 47m 53s,0h 0m 10s,0.46829208298384634,0.7322273982771363,0.14044509003805689,2,6,7,11
NeuronalNetworkLoss,TrainDay0_SSHPatator,flows,0h 25m 6s,0h 0m 0s,0.9645652473900879,0.043154281049052605,0.2792598588212325,2826,81,105,162
NeuronalNetworkLoss,TrainDay012_TestDay34,flows,1h 19m 6s,0h 0m 5s,0.45522222433079684,0.8110703196293805,0.06916892216047273,1,6,7,11
NeuronalNetworkLoss,TrainDay0_Infiltration,flows,0h 25m 9s,0h 0m 1s,0.48675700818517253,0.5578601945011883,0.2536453031242567,1,5,6,9
NeuronalNetworkLoss,TrainDay0_TestBotnet,flows,0h 25m 8s,0h 0m 0s,0.9856838172287012,0.01716074195861049,0.24568772103477787,4,201,201,201
NeuronalNetworkLoss,TrainDay0_TestDay1234,flows,0h 24m 44s,0h 0m 12s,0.5452827181040332,0.6321740145970846,0.17446503585919848,1,7,9,14
IsolationForest,TrainDay0123_TestDay4,samples,0h 4m 59s,0h 1m 26s,0.4317489635415959,0.9343756605637075,0.021675718769123338,3,5,6,9
IsolationForest,TrainDay0_Heartbleed,samples,0h 1m 11s,0h 0m 0s,0.8932983433084513,0.964475452581657,0.0014408899353929524,1,55,72,110
IsolationForest,TrainDay0_TestBotnet,samples,0h 1m 11s,0h 0m 2s,0.979419025673767,0.09061862222514916,0.18586660707098374,1,201,201,201
IsolationForest,TrainDay0_DDos,samples,0h 1m 11s,0h 0m 3s,0.14570152071418802,0.9734847324577056,0.05153730093176903,1,2,3,4
IsolationForest,TrainDay0_PortScan,samples,0h 1m 11s,0h 0m 2s,0.24653814570015928,0.9759423578763251,0.010724659767991064,7,3,3,5
IsolationForest,TrainDay0_FTPPatator,samples,0h 1m 11s,0h 0m 3s,0.968856952018848,0.0397183172269268,0.6532178624441414,3093,40,52,80
IsolationForest,TrainDay0_SSHPatator,samples,0h 1m 11s,0h 0m 2s,0.9756337389487626,0.04959617535148259,0.797569095617881,1986,27,35,54
IsolationForest,TrainDay012_TestDay34,samples,0h 3m 44s,0h 1m 38s,0.5494754445886548,0.9279192780076158,0.016018594508618252,16,7,9,14
IsolationForest,TrainDay0_TestDay1234,samples,0h 1m 14s,0h 0m 53s,0.6025406791843394,0.88058903522113,0.05630504718686352,27,9,11,17
IsolationForest,TrainDay0_Dos,samples,0h 1m 12s,0h 0m 6s,0.3358745310419402,0.9608916473334893,0.03860616649564932,1,4,5,7
